Category,Description,Rule,Severity,Likelihood,Remediation Cost,Priority,Level
Error Handling (ERR),Ensure that functions without return values do not return a value,ERR32-C,Low,Unlikely,Low,P3,L3
Error Handling (ERR),Do not call va_arg with an argument of the incorrect type,ERR34-C,Medium,Unlikely,Medium,P4,L3
Concurrency (CON),Do not use deprectated or obsolescent functions,CON30-C,Medium,Unlikely,Medium,P4,L3
Concurrency (CON),Use synchronization primitives properly,CON31-C,Medium,Probable,High,P4,L3
Concurrency (CON),Do not create a deadlock,CON33-C,Medium,Probable,High,P4,L3
Concurrency (CON),Ensure that loop bodies do not contain non-atomic reads or writes to shared variables,CON34-C,Medium,Probable,High,P4,L3
Concurrency (CON),Ensure that functions used in an interrupt context are reentrant,CON35-C,Low,Probable,Medium,P4,L3
Concurrency (CON),Ensure that access to non-atomic variables is atomic,CON36-C,Low,Unlikely,Medium,P2,L3
Concurrency (CON),Ensure that signal handlers are established for all signals,CON38-C,Low,Unlikely,Medium,P2,L3
Concurrency (CON),Ensure that the handling of signals is reentrant and safe,CON41-C,Low,Unlikely,Medium,P2,L3
Concurrency (CON),Do not use sleep functions to manage thread scheduling,CON43-C,Medium,Probable,High,P4,L3
Miscellaneous (MSC),Do not use deprecated or obsolescent functions,MSC38-C,Low,Unlikely,Medium,P2,L3
Miscellaneous (MSC),Do not use deprecated or obsolescent functions,MSC39-C,Low,Unlikely,Low,P3,L3
Miscellaneous (MSC),Do not use deprecated or obsolescent functions,MSC40-C,Low,Unlikely,Medium,P2,L3
POSIX (POS),Ensure that the path argument passed to functions accessing the file system is valid,POS38-C,Medium,Unlikely,Medium,P4,L3
POSIX (POS),Ensure that input functions handle EOF correctly,POS48-C,Medium,Probable,High,P4,L3
POSIX (POS),Ensure that the input/output functions correctly handle errors,POS50-C,Medium,Probable,High,P4,L3
POSIX (POS),Do not use the remove() function to erase an open file,POS51-C,Low,Probable,Medium,P4,L3
POSIX (POS),Ensure that functions that accept a pathname do not also accept a string that specifies the pathname as a source of data,POS52-C,Low,Probable,High,P2,L3
POSIX (POS),Do not call remove() without verifying the result,POS53-C,Medium,Probable,High,P4,L3
Declarations and Initialization,Do not declare or define a reserved identifier,DCL51-CPP,Low,Unlikely,Low,P3,L3
Declarations and Initialization,Never qualify a reference type with const or volatile,DCL52-CPP,Low,Unlikely,Low,P3,L3
Declarations and Initialization,Do not write syntactically ambiguous declarations,DCL53-CPP,Low,Unlikely,Medium,P2,L3
Declarations and Initialization,Avoid information leakage when passing a class object across a trust boundary,DCL55-CPP,Low,Unlikely,High,P1,L3
Declarations and Initialization,Avoid cycles during initialization of static objects,DCL56-CPP,Low,Unlikely,Medium,P2,L3
Declarations and Initialization,Do not define an unnamed namespace in a header file,DCL59-CPP,Medium,Unlikely,Medium,P4,L3
Declarations and Initialization,Obey the one-definition rule,DCL60-CPP,High,Unlikely,High,P3,L3
Expressions (EXP),Do not delete an array through a pointer of the incorrect type,EXP51-CPP,Low,Unlikely,Medium,P2,L3
Expressions (EXP),Do not rely on side effects in unevaluated operands,EXP52-CPP,Low,Unlikely,Low,P3,L3
Expressions (EXP),Do not call a function with a mismatched language linkage,EXP56-CPP,Low,Unlikely,Medium,P2,L3
Expressions (EXP),Do not cast or delete pointers to incomplete classes,EXP57-CPP,Medium,Unlikely,Medium,P4,L3
Expressions (EXP),Pass an object of the correct type to va_start,EXP58-CPP,Medium,Unlikely,Medium,P4,L3
Expressions (EXP),Use offsetof() on valid types and members,EXP59-CPP,Medium,Unlikely,Medium,P4,L3
Integers (INT),Do not cast to an out-of-range enumeration value,INT50-CPP,Medium,Unlikely,Medium,P4,L3
Containers (CTR),Provide a valid ordering predicate,CTR57-CPP,Low,Probable,High,P2,L3
Containers (CTR),Predicate function objects should not be mutable,CTR58-CPP,Low,Likely,High,P3,L3
Input Output (FIO),Close files when they are no longer needed,FIO51-CPP,Medium,Unlikely,Medium,P4,L3
Exceptions and Error Handling,Do not abruptly terminate the program,ERR50-CPP,Low,Probable,Medium,P4,L3
Exceptions and Error Handling,Handle all exceptions,ERR51-CPP,Low,Probable,Medium,P4,L3
Exceptions and Error Handling,Do not use setjmp() or longjmp(),ERR52-CPP,Low,Probable,Medium,P4,L3
Exceptions and Error Handling,Do not reference base classes or class data members in a constructor or destructor function-try-block handler,ERR53-CPP,Low,Unlikely,Medium,P2,L3
Exceptions and Error Handling,Do not leak resources when handling exceptions,ERR57-CPP,Low,Probable,High,P2,L3
Exceptions and Error Handling,Exception objects must be nothrow copy constructible,ERR60-CPP,Low,Probable,Medium,P4,L3
Exceptions and Error Handling,Detect errors when converting a string to a number,ERR61-CPP,Low,Unlikely,Low,P3,L3
Exceptions and Error Handling,Do not access freed memory,ERR62-CPP,Medium,Unlikely,Medium,P4,L3
Object Oriented Programming,Do not invoke virtual functions from constructors or destructors,OOP50-CPP,Low,Unlikely,Medium,P2,L3
Object Oriented Programming,Do not slice derived objects,OOP51-CPP,Low,Probable,Medium,P4,L3
Object Oriented Programming,Write constructor member initializers in the canonical order,OOP53-CPP,Medium,Unlikely,Medium,P4,L3
Object Oriented Programming,Gracefully handle self-copy assignment,OOP54-CPP,Low,Probable,High,P2,L3
Object Oriented Programming,Honor replacement handler requirements,OOP56-CPP,Low,Probable,High,P2,L3
Concurrency,Do not destroy a mutex while it is locked,CON50-CPP,Medium,Probable,High,P4,L3
Concurrency,Avoid deadlock by locking in a predefined order,CON53-CPP,Low,Probable,Medium,P4,L3
Concurrency,Wrap functions that can spuriously wake up in a loop,CON54-CPP,Low,Unlikely,Medium,P2,L3
Concurrency,Preserve thread safety and liveness when using condition variables,CON55-CPP,Low,Unlikely,Medium,P2,L3
Concurrency,Do not speculatively lock a non-recursive mutex that is already owned by the calling thread,CON56-CPP,Low,Unlikely,High,P1,L3
Miscellaneous,Do not return from a function declared [[noreturn]],MSC53-CPP,Medium,Unlikely,Low,P2,L3
